date,feature_index,NO2
2021-06-30 00:00:00+00:00,0,
2021-07-01 00:00:00+00:00,0,4.117140269954689e-05
2021-07-02 00:00:00+00:00,0,2.149908868886996e-05
2021-07-03 00:00:00+00:00,0,
2021-07-04 00:00:00+00:00,0,2.471905099810101e-05
2021-07-05 00:00:00+00:00,0,6.755178674211493e-06
2021-07-06 00:00:00+00:00,0,2.8312651920714416e-05
2021-07-07 00:00:00+00:00,0,8.227691068896092e-06
2021-07-08 00:00:00+00:00,0,3.2255622500088066e-05
2021-07-09 00:00:00+00:00,0,
2021-07-10 00:00:00+00:00,0,
2021-07-11 00:00:00+00:00,0,
2021-07-12 00:00:00+00:00,0,1.402649468218442e-05
2021-07-13 00:00:00+00:00,0,3.770979219552828e-06
2021-07-14 00:00:00+00:00,0,2.45684295805404e-05
2021-07-15 00:00:00+00:00,0,2.096796379191801e-05
2021-07-16 00:00:00+00:00,0,2.797936940623913e-05
2021-07-17 00:00:00+00:00,0,
2021-07-18 00:00:00+00:00,0,1.4593219020753168e-05
2021-07-19 00:00:00+00:00,0,
2021-07-20 00:00:00+00:00,0,2.9333046768442728e-05
2021-07-21 00:00:00+00:00,0,3.6648732930189e-05
2021-07-22 00:00:00+00:00,0,2.8706514058285396e-05
2021-07-23 00:00:00+00:00,0,1.2144510947109666e-05
2021-07-24 00:00:00+00:00,0,3.290122185717337e-05
2021-07-25 00:00:00+00:00,0,3.148768882965669e-05
2021-07-26 00:00:00+00:00,0,8.818060450721532e-06
2021-07-27 00:00:00+00:00,0,4.048016853630543e-05
2021-07-28 00:00:00+00:00,0,2.894940371334087e-05
2021-07-29 00:00:00+00:00,0,2.607283204270061e-05
2021-07-30 00:00:00+00:00,0,4.38865645264741e-05
2021-07-31 00:00:00+00:00,0,
2021-08-01 00:00:00+00:00,0,1.7305535948253237e-05
2021-08-02 00:00:00+00:00,0,3.3498781704111025e-05
2021-08-03 00:00:00+00:00,0,1.81787290784996e-05
2021-08-04 00:00:00+00:00,0,
2021-08-05 00:00:00+00:00,0,1.979522858164273e-05
2021-08-06 00:00:00+00:00,0,6.696691912111419e-07
2021-08-07 00:00:00+00:00,0,1.7751106497598812e-05
2021-08-08 00:00:00+00:00,0,1.011426229524659e-05
2021-08-09 00:00:00+00:00,0,2.2875177819514647e-05
2021-08-10 00:00:00+00:00,0,1.717917803034652e-05
2021-08-11 00:00:00+00:00,0,2.910640250775032e-05
2021-08-12 00:00:00+00:00,0,1.2116284779040145e-05
2021-08-13 00:00:00+00:00,0,
2021-08-14 00:00:00+00:00,0,
2021-08-15 00:00:00+00:00,0,5.550564765144372e-06
2021-08-16 00:00:00+00:00,0,1.5653336959076114e-05
2021-08-17 00:00:00+00:00,0,1.4190258298185654e-05
2021-08-18 00:00:00+00:00,0,
2021-08-19 00:00:00+00:00,0,
2021-08-20 00:00:00+00:00,0,
2021-08-21 00:00:00+00:00,0,2.7429256078903563e-05
2021-08-22 00:00:00+00:00,0,1.6980469808913767e-05
2021-08-23 00:00:00+00:00,0,1.0915724487858824e-05
2021-08-24 00:00:00+00:00,0,2.971001413243357e-05
2021-08-25 00:00:00+00:00,0,1.928390156535897e-05
2021-08-26 00:00:00+00:00,0,1.361684644507477e-05
2021-08-27 00:00:00+00:00,0,2.04877997020958e-05
